Team,Position,Average,Capacity,Percentage of attendance
Olympiacos,Final Four,10454,11847,0.8824174896598295
Barcelona,Final Four,6357,7585,0.8381015161502966
Real Madrid,Final Four,8141,13109,0.6210237241589748
AS Monaco,Final Four,4392,5000,0.8784
Maccabi Playtika Tel Aviv,Playoff,10338,10383,0.9956659924877204
Partizan Mozzart Bet,Playoff,17938,19394,0.9249252346086418
Žalgiris,Playoff,14836,15415,0.9624391826143367
Fenerbahçe Beko,Playoff,10476,13059,0.8022053756030324
Cazoo Baskonia,Out,8919,15504,0.5752708978328174
Anadolu Efes,Out,13099,16000,0.8186875
EA7 Emporio Armani Milan,Out,9443,12700,0.7435433070866142
Valencia Basket,Out,6059,8500,0.7128235294117647
Virtus Segafredo Bologna,Out,6136,9980,0.6148296593186373
Bayern Munich,Out,5951,6500,0.9155384615384615
ALBA Berlin,Out,8877,14500,0.6122068965517241
Panathinaikos,Out,6009,18989,0.31644636368423823
LDLC ASVEL,Out,5429,5556,0.9771418286537077
